SubjectID,Set,Jname,RA,Dec,SDSS_ObjId
18835840,Green03,J141119.04+094225.3,212.8293,9.707,1237662264852676970
18315418,Green02,J141408.44+484156.0,213.53517,48.69889,1237662301897687187
18239957,SDRAGN06,J141558.81+132023.7,213.9951,13.3399,1237662530066055790
18239959,SDRAGN06,J141651.28+393903.6,214.2137,39.651,587736586574758173
18315420,Green02,J142245.42+571044.0,215.68925,57.17889,1237659146706616419
18934724,SDRAGN06,J142305.86+215735.5,215.7745,21.9599,1237667911679410391
18239961,SDRAGN06,J142558.12+300931.2,216.4921,30.1587,1237665127481934051
18239963,SDRAGN06,J142647.80+581756.3,216.6992,58.299,1237655464312635658
18239965,SDRAGN06,J142657.19+180236.0,216.7383,18.0433,1237668272978133659
18315424,Green02,J142719.00+034417.2,216.82917,3.73811,1237654879664144597
18239966,SDRAGN06,J142756.27+420622.0,216.9845,42.1061,1237661433781617065
18274416,SDRAGN07,J142756.85+490849.6,216.9869,49.1471,1237662303509086987
18315436,Green02,J143339.85+051421.9,218.4161,5.2394,1237662266459357791
18274418,SDRAGN07,J143340.75+635830.4,218.4198,63.9751,1237651539255230678
18274420,SDRAGN07,J143447.95+165631.8,218.6998,16.9422,1237668298218144137
18274421,SDRAGN07,J143554.21+360853.0,218.9759,36.1481,1237662664281751965
18274423,SDRAGN07,J143643.83+080728.3,219.1826,8.1245,1237662237481238631
18274425,SDRAGN07,J143854.46-015646.9,219.727,-1.9464,1237655692476023197
18274427,SDRAGN07,J144037.02+050707.4,220.1543,5.1187,1237662266460079173
18823884,SDRAGN09,J144258.62+520902.0,220.7443,52.1506,1237661387606917250
18274428,SDRAGN07,J144341.69+224550.1,220.9237,22.7639,1237665531714732276
18274429,SDRAGN07,J144915.64+335835.7,222.3152,33.9766,1237662663209451799
18835852,Green03,J144941.10+233808.9,222.4213,23.6358,1237665533325869327
18274431,SDRAGN07,J145218.00+052105.5,223.0751,5.3516,1237662266998260112
18274432,SDRAGN07,J145753.81+283218.7,224.4742,28.5385,1237665128558821501
18274434,SDRAGN07,J145906.94+063559.8,224.7789,6.5999,1237662268609528012
18274436,SDRAGN07,J150128.04+431136.3,225.3668,43.1934,1237658205597598306
18315501,Green02,J150131.22+382545.6,225.38008,38.42933,1237661874027561052
18274437,SDRAGN07,J150326.21+304817.1,225.8592,30.8048,1237662698105406096
18274439,SDRAGN07,J150543.38+195304.0,226.4308,19.8845,1237667968032702840
18274440,SDRAGN07,J150858.96+345631.1,227.2457,34.942,1237662195614876045
18274442,SDRAGN07,J150903.21+515247.9,227.2634,51.88,1237659325484368766
18274443,SDRAGN07,J151659.24+051751.5,229.2468,5.2976,1237662267537817621
18274445,SDRAGN07,J151918.35+103505.1,229.8265,10.5848,1237662636907824212
18274450,SDRAGN07,J151930.31+063352.3,229.8763,6.5645,1237662269148627188
18274451,SDRAGN07,J152825.67+531052.8,232.107,53.1813,1237655465390703356
18274453,SDRAGN07,J152838.43+242025.6,232.1601,24.3404,1237665374403493960
18274455,SDRAGN07,J152955.47+344955.2,232.4812,34.832,1237661852022604283
18274456,SDRAGN07,J153200.95+272528.9,233.004,27.4247,1237664853651293066
18277358,SDRAGN08,J153637.22+120746.1,234.1551,12.1295,1237668350291673552
18823885,SDRAGN09,J154053.15+533002.0,235.2215,53.5006,1237655129296797962
18315439,Green02,J154504.90+525925.4,236.2704,52.9904,1237655129297191089
18277360,SDRAGN08,J154814.62+483502.0,237.0609,48.5839,1237655463782515094
18277362,SDRAGN08,J155046.42+173630.2,237.6934,17.6084,1237665549436256567
18835853,Green03,J155056.34+215620.4,237.7348,21.939,1237665101147275933
18835841,Green03,J155113.37+220330.5,237.8057,22.0585,1237665127491043369
18277363,SDRAGN08,J155126.62+534814.7,237.8609,53.8041,1237655130907804176
18277364,SDRAGN08,J155203.47+073141.9,238.0145,7.5283,1237661949740646844
18277365,SDRAGN08,J155549.80+241409.9,238.9575,24.2361,1237664853117174297
18422344,SDRAGN08,J155619.77+511848.8,239.0824,51.3136,1237651250975408374
18277368,SDRAGN08,J155641.93+245941.1,239.1748,24.9948,1237662661606376031
18277370,SDRAGN08,J160057.30+051438.4,240.2388,5.244,1237655745099268761
18315442,Green02,J160344.95+524220.6,240.93729,52.70572,1237651538188566799
18315446,Green02,J160646.74+565139.2,241.69475,56.86089,1237665570900345527
18315452,Green02,J161224.60+594610.4,243.10252,59.76957,1237668504364187727
18277371,SDRAGN08,J161358.61+301809.4,243.4942,30.3026,1237662337330381091
18277373,SDRAGN08,J161449.71+321054.5,243.7071,32.1818,1237665357229261475
